,artist,song_name,closest_genre,lyric
21,Bessie Smith,Black Mountain Blues,Jazz,"Here come the Men in Black
It's the M.I.B.'s, uhh, here come the M.I.B.'s
Here come the Men in Black
They won't let you remember
Nah nah nah

The good guys dress in black remember that
Just in case we ever face to face and make contact
The title held by me -- M.I.B.
Means what you think you saw, you did not see
So don't blink be what was there
is now gone, black suit with the black Ray Ban's on
Walk in shadow, move in silence
Guard against extra-terrestrial violence
But yo we ain't on no government list
We straight don't exist, no names and no figerprints
Saw somethin strange, watch your back�
Cause you never quite know where the M.I.B.'s is at
Uh and...

Here come the Men in Black (Men in Blaaaaack)
Galaxy defenders (oahhaooohh ohhhhh)
Here come the Men in Black (Men in Blaaaaack)
They won't let you remember

Uh uh, uh uh, now
from the deepest of the darkest of night
on the horizon, bright light enters sight tight
Cameras zoom, on the impending doom
But then like BOOM black suits fill the room up
With the quickness talk with the witnesses
Hypnotizer, neuralizer
Vivid memories turn to fantasies
Ain't no M.I.B.'s, can I please
do what we say that's the way we kick it
YanawhaImean?� I see my noisy cricket get wicked on ya
We're your first, last and only line of defense
against the worst scum of the universe
So don't fear us, cheer us
If you ever get near us, don't jeer us, we're the fearless
M.I.B.'s, freezin up all the flack
(What's that stand for?) Men In Black

Uhh M
The Men in Black...
The Men in Black

Let me see ya just bounce it with me, just bounce with me
Just bounce it with me c'mon
Let me see ya just slide with me, just slide with me
Just slide with me c'mon�
Let me see ya take a walk with me, just walk it with me�
Take a walk with me c'mon
And make your neck work
Now freeze...

oooooaaaaaaoooo

Here come the Men in Black (Men in Blaaaaack)
The galaxy defenders
Right on, right on
Here come the Men in Black (Men in Blaaaaack)
They won't let you remember (ohhhh nooooo)

Alright check it, let me tell you this in closin
I know we might seem imposin
But trust me if we ever show in your section
Believe me, it's for your own protection
Cause we see things that you need not see�
And we be places that you need not be
So go witcha life, forget that Roswell crap
Show love to the black suit, cause that's the Men in
That's the Men in...

Here come the Men in Black (here they comeeeee)
The galaxy defenders (ga-la-xy de-fenders)
Here come the Men in Black (ohhhh here they come)
They won't let you remember (won't, let you, rememberrrr)
Here come the Men in Black (ohhhh here they come)
Galaxy defenders (ohh ohh, ohh ohh, ohh ohh)
Here come the Men in Black
They won't let you remember"
22,Bessie Smith,You've Been a Good Old Wagon,Jazz,"That old black magic has me in its spell
That old black magic that you weave so well
Icy fingers up and down my spine
The same old witchcraft when your eyes meet mine

The same old tingle that I feel inside
When that elevator starts its ride
Down and down I go, round and round I go
Like a leaf thats caught in the tide

I should stay away but what can I do
I hear your name, and Im aflame
Aflame with such a burning desire
That only your kiss can put out the fire

You are the lover that Ive waited for
The mate that fate had me created for
And every time your lips meet mine

Baby down and down I go, all around I go
In a spin, loving the spin that Im in
Under that old black magic called love"
23,Bessie Smith,Long Old Road,Jazz,"That old black magic has me in its spell
That old black magic that you weave so well
Icy fingers up and down my spine
The same old witchcraft when your eyes meet mine

The same old tingle that I feel inside
When that elevator starts its ride
Down and down I go, round and round I go
Like a leaf thats caught in the tide

I should stay away but what can I do
I hear your name, and Im aflame
Aflame with such a burning desire
That only your kiss can put out the fire

You are the lover that Ive waited for
The mate that fate had me created for
And every time your lips meet mine

Baby down and down I go, all around I go
In a spin, loving the spin that Im in
Under that old black magic called love"
24,Bessie Smith,There'll Be a Hot Time in the Old Town Tonight,Jazz,"Mine eyes have seen the glory
Of the sacred wunder-kind
You took me behind a dis-used railway line
And said: ""I know a place where we can go
Where we are not known""
And you gave me something that I won't forget too soon

But I can't believe you'd ever care
And this is why you will never care

These things take time
I know that I'm
The most inept
That ever stepped

I'm spellbound but a woman divides
And the hills are alive with celibate cries
But you know where you came from
You know where you're going
And you know where you belong
You said I was ill and you were not wrong

But I can't believe you'd ever care
And this is why you will never care

These things take time
I know that I'm
The most inept
That ever stepped

Oh the alcoholic afternoons
When we sat in your room
They meant more to me
Than any, than any living thing on earth
They had more worth
Than any living thing on earth

Vivid and in your prime
You will leave me behind

You will leave me behind"
25,Bessie Smith,"Empty Bed Blues, Pt. 2",Jazz,"I hate to see that evening sun go down
I hate to see that evening sun go down
'Cause, my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her
If it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis Blues
Blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint'n rye
I love my man till the day I die

by W.C. Handy"
26,Louis Armstrong,Stardust,Jazz,"Sometimes I wonder
why, I spend Such lonely nights
dreaming of a song
That melody haunts my reverie
And I am once again with you
When our love was new,
And each kiss . an inspiration
Oooh but that was long ago
Now my consolation, is in the stardust of a song

Beside a garden wall
When stars are bright
You are in my arms
The nightingale hums his fairy tale
of paradise where roses bloom
Though I dream in vain
Always In my heart it will remain baby
My stardust melody,
the memory of love's refrain,
and now the urle dusk of twilight time
steals acorss the dust of my heart- my heart!"
27,Louis Armstrong,When It's Sleepy Time Down South,Jazz,"We have all the time in the world
Time enough for life to unfold
All the precious things love has in store
We have all the love in the world
If that's all we have, you will find
We need nothing more

Every step of the way will find us
With the cares of the world far behind us

We have all the time in the world
Just for love
Nothing more, nothing less
Only love

Every step of the way will find us
With the cares of the world far behind us

We have all the time in the world
Just for love
Nothing more, nothing less
Only love

Only Love"
28,Louis Armstrong,That Rhythm Man,Jazz,I got rhythm....I got music....I got my gal Who can ask for anything more I got daisies....In green pastures....I got my gal Who could ask for anything more Old man trouble....I don't mind him. You won't find him.... 'round my door I got starlight...I got sweet dreams...I got my gal Who could ask for anything more (instrumental break) I got rhythm....I got music....I got my gal Who can ask for anything more Who could ask for anything more
29,Louis Armstrong,Blue Again,Jazz,"Won't you come and go with me
Down that Mississippi
We'll take a boat to the land of dreams
Come along with me on, down to new orleans

Now the band�s there to greet us
Old friends will meet us
Where all them folks goin to the St. Louis cemetary meet
Heaven on earth, they call it basin street

I'm tellin� ya, basin street is the street
Where all them characters from the first street they meet
New Orleans, land of dreams
You'll never miss them rice and beans
Way down south in New Orleans

They'll be huggin� and a kissin�
That's what I been missin�
And all that music lord, if you just listen�
New orleans, I got them basin street blues

Now ain't you glad you went with me
On down that Mississippi
We took a boat to the land of dreams
Heaven on earth they call it basin street"
30,Louis Armstrong,(What Did I Do to Be So) Black and Blue,Jazz,"Won't you come and go with me
Down that Mississippi
We'll take a boat to the land of dreams
Come along with me on, down to new orleans

Now the band�s there to greet us
Old friends will meet us
Where all them folks goin to the St. Louis cemetary meet
Heaven on earth, they call it basin street

I'm tellin� ya, basin street is the street
Where all them characters from the first street they meet
New Orleans, land of dreams
You'll never miss them rice and beans
Way down south in New Orleans

They'll be huggin� and a kissin�
That's what I been missin�
And all that music lord, if you just listen�
New orleans, I got them basin street blues

Now ain't you glad you went with me
On down that Mississippi
We took a boat to the land of dreams
Heaven on earth they call it basin street"
31,Louis Armstrong,On The Sunny Side Of The Street - Part 1,Jazz,"Won't you come and go with me
Down that Mississippi
We'll take a boat to the land of dreams
Come along with me on, down to new orleans

Now the band�s there to greet us
Old friends will meet us
Where all them folks goin to the St. Louis cemetary meet
Heaven on earth, they call it basin street

I'm tellin� ya, basin street is the street
Where all them characters from the first street they meet
New Orleans, land of dreams
You'll never miss them rice and beans
Way down south in New Orleans

They'll be huggin� and a kissin�
That's what I been missin�
And all that music lord, if you just listen�
New orleans, I got them basin street blues

Now ain't you glad you went with me
On down that Mississippi
We took a boat to the land of dreams
Heaven on earth they call it basin street"
32,Louis Armstrong,Between The Devil And The Deep Blue Sea,Jazz,"Won't you come and go with me
Down that Mississippi
We'll take a boat to the land of dreams
Come along with me on, down to new orleans

Now the band�s there to greet us
Old friends will meet us
Where all them folks goin to the St. Louis cemetary meet
Heaven on earth, they call it basin street

I'm tellin� ya, basin street is the street
Where all them characters from the first street they meet
New Orleans, land of dreams
You'll never miss them rice and beans
Way down south in New Orleans

They'll be huggin� and a kissin�
That's what I been missin�
And all that music lord, if you just listen�
New orleans, I got them basin street blues

Now ain't you glad you went with me
On down that Mississippi
We took a boat to the land of dreams
Heaven on earth they call it basin street"
33,Louis Armstrong,On The Sunny Side Of The Street - Part 2,Jazz,"Won't you come and go with me
Down that Mississippi
We'll take a boat to the land of dreams
Come along with me on, down to new orleans

Now the band�s there to greet us
Old friends will meet us
Where all them folks goin to the St. Louis cemetary meet
Heaven on earth, they call it basin street

I'm tellin� ya, basin street is the street
Where all them characters from the first street they meet
New Orleans, land of dreams
You'll never miss them rice and beans
Way down south in New Orleans

They'll be huggin� and a kissin�
That's what I been missin�
And all that music lord, if you just listen�
New orleans, I got them basin street blues

Now ain't you glad you went with me
On down that Mississippi
We took a boat to the land of dreams
Heaven on earth they call it basin street"
34,Louis Armstrong,Stardust,Jazz,"Sometimes I wonder
why, I spend Such lonely nights
dreaming of a song
That melody haunts my reverie
And I am once again with you
When our love was new,
And each kiss . an inspiration
Oooh but that was long ago
Now my consolation, is in the stardust of a song

Beside a garden wall
When stars are bright
You are in my arms
The nightingale hums his fairy tale
of paradise where roses bloom
Though I dream in vain
Always In my heart it will remain baby
My stardust melody,
the memory of love's refrain,
and now the urle dusk of twilight time
steals acorss the dust of my heart- my heart!"
35,Louis Armstrong,My Sweet,Jazz,"I just found joy
I'm as happy as a baby boy
With another brand-new choo-choo toy
When I'm with my sweet Lorraine

A pair of eyes
That are bluer than the summer skies
When you see them you will realize
Why I love my sweet Lorraine

I'm so happy
When it's rainin' I don't miss the sun
For it's in my sweetie's smile
Just to think that I'm the lucky one
Who will lead her down the aisle

Each night I pray
That nobody steals her heart away
Just can't wait until that happy day
When I marry sweet Lorraine

When it's rainin' I don't miss the sun
For it's in my sweetie's smile, baby
Just to think that I'm the lucky one
Who's will lead her down the aisle

Each night I pray
That nobody steals her heart away
Just can't wait until that lucky day
When I marry sweet Lorraine"
36,Louis Armstrong,St. Louis Blues - Alternate Take B,Jazz,"Won't you come and go with me
Down that Mississippi
We'll take a boat to the land of dreams
Come along with me on, down to new orleans

Now the band�s there to greet us
Old friends will meet us
Where all them folks goin to the St. Louis cemetary meet
Heaven on earth, they call it basin street

I'm tellin� ya, basin street is the street
Where all them characters from the first street they meet
New Orleans, land of dreams
You'll never miss them rice and beans
Way down south in New Orleans

They'll be huggin� and a kissin�
That's what I been missin�
And all that music lord, if you just listen�
New orleans, I got them basin street blues

Now ain't you glad you went with me
On down that Mississippi
We took a boat to the land of dreams
Heaven on earth they call it basin street"
37,Louis Armstrong,When You're Smiling - Non Vocal Take,Jazz,"When you're smilin' keep on smilin'
The whole world smiles with you
And when you're laughin' oh when youre laughin'
The sun comes shinin? through

But when you?re cryin' you bring on the rain
So stop your sighin 'be happy again
keep on smilin Cause when you're smilin'
The whole world smiles with you

Oh when you're smilin' keep on smilin'
The whole world smiles with you
Ah when you're laughin' keep on laughin'
The sun comes shinin' through

Now when you're cryin' you bring on the rain
So stop that sighin' be happy again
keep on smilin Cause when you're smilin'
And the whole world smiles with you

The great big world will smile with

The whole wide world will smile with you"
38,Louis Armstrong,When Your Lover Has Gone,Jazz,"We are trav'ling in the footsteps
Of those who've gone before
But we'll all be reunited (but if we stand reunited)
On a new and sunlit shore (then a new world is in store)

O when the saints go marching in
When the saints go marching in
O Lord I want to be in that number
When the saints go marching in

And when the sun refuse (begins) to shine
And when the sun refuse (begins) to shine
O Lord I want to be in that number
When the saints go marching in

When the moon turns red with blood
When the moon turns red with blood
O Lord I want to be in that number
When the saints go marching in

On that hallelujah day
On that hallelujah day
O Lord I want to be in that number
When the saints go marching in

O when the trumpet sounds the call
O when the trumpet sounds the call
O Lord I want to be in that number
When the saints go marching in

Some say this world of trouble
Is the only one we need
But I'm waiting for that morning
When the new world is revealed

When the revelation (revolution) comes
When the revelation (revolution) comes
O Lord I want to be in that number
When the saints go marching in

When the rich go out and work
When the rich go out and work
O Lord I want to be in that number
When the saints go marching in

When the air is pure and clean
When the air is pure and clean
O Lord I want to be in that number
When the saints go marching in

When we all have food to eat
When we all have food to eat
O Lord I want to be in that number
When the saints go marching in

When our leaders learn to cry
When our leaders learn to cry
O Lord I want to be in that number
When the saints go marching in"
39,Louis Armstrong,I Can't Believe That You're In Love With Me,Jazz,"I can't give you anything but love, Baby,
That's the only thing I've plenty of, Baby.
Dream awhile, scheme awhile, We're sure to find,
Happiness, and I guess, All those things you've always pined for.
Gee, I'd like to see you looking swell, Baby,
Diamond bracelets Woolworth doesn't sell, Baby.
Till that lucky day, you know darned well, Baby,
I can't give you anything but love."
40,George Olsen,A Sun-Kist Cottage In California,Jazz,"I can't light no more of your darkness
All my pictures seem to fade to black and white
I'm growing tired and time stands still before me
Frozen here on the ladder of my life

It's much too late to save myself from falling
I took a chance and changed the way of life
But you misread my meaning when I met you
Closed the door and left me blind by the light

Don't let the sun go down on me yeah
Although I search myself it's always someone else I see
I'd just allow a fragment of your life to wander free ohh
But losing everything is like the sun going down on me

(Ladies &amp; gentleman Mr. Elton John)
I can't find oh the right romantic line
But see me once and see the way I feel
Don't discard me just because you think I mean you harm
But these cuts I have they need love to help them heal oh

Don't let the sun go down on me yeah
Although I search myself it's always someone else I see
I'd just allow a fragment of your life to wander free ohh
Cause losing everything is like the sun going down on me

Don't let the sun go down on me
Although I search myself it's always someone else I see yeah
I'd just allow a fragment of your life to wander free baby
Cause losing everything is like the sun going down on me
(Mr. Elton John)"
41,Louis Armstrong,(What Did I Do to Be So) Black and Blue,Jazz,"Won't you come and go with me
Down that Mississippi
We'll take a boat to the land of dreams
Come along with me on, down to new orleans

Now the band�s there to greet us
Old friends will meet us
Where all them folks goin to the St. Louis cemetary meet
Heaven on earth, they call it basin street

I'm tellin� ya, basin street is the street
Where all them characters from the first street they meet
New Orleans, land of dreams
You'll never miss them rice and beans
Way down south in New Orleans

They'll be huggin� and a kissin�
That's what I been missin�
And all that music lord, if you just listen�
New orleans, I got them basin street blues

Now ain't you glad you went with me
On down that Mississippi
We took a boat to the land of dreams
Heaven on earth they call it basin street"
