artist,song_name,closest_genre,lyric,length_lyric
B.B. King,Three O'clock Blues,Blues,"I've been down hearted baby
ever since the day we met
I said I've been down hearted baby
ever since the day we met
our love is nothing but the blues
baby, how blue can you get?

You're evil when I'm with you, baby
and you're jealous when we're apart
I said You're evil when I'm with you, baby
and you're jealous when we're apart
how blue can you get baby
the answer is right here in my heart

I gave you a brand new Ford
But you said: I want a Cadillac
I bought you a ten dollar dinner
and you said: thanks for the snack
I let you live in my pent house
you said it was just a shack
I gave you seven children
and now you wanna give them back
I said I've been down hearted baby
ever since the day we met
our love is nothing but the blues
baby, how blue can you get?",160
Solomon Burke,Cry to Me,Blues,"When your baby, leaves you all alone,
And nobody, calls you on the phone,
Don't you feel like crying, don't you feel like crying,
Well here I am my hunny, c'mon cry to me.

When your all alone, in your lonely room,
And there's nothing, but the smell of her perfume,
Don't you feel like crying, don't you feel like crying,
Don't u feel like crying, c'mon, c'mon cry to me.

Whoa, nothing can be sadder than a glass of wine alone,
Loneliness, loneliness, such a waste of time, whoa yer,
You don't ever have walk alone, well u see,
C'mon take my hand, and baby won't you walk with me,
Whoa yer.

When your waiting, for a voice to come,
In the night, well there's no one,
Don't you feel like crying, don't you feel like crying,
Don't you u feel like cr-cr-cr-cr-cr-cry cr-cr-cr-cr-cr-cr-cryin,
Don't you u feel like cr-cr-cr-cr-cr-cry cr-cr-cr-cr-cr-cr-cryin.",152
Al Green,I'm Still in Love with You,Blues,"spending my day thinking bout you girl
being here with you, being near with you, I can't explain myself
why I feel like I do (like I do)
though it hurt me so, to let you know when I look in your eyes
and if you let me know how you feel
let me know if this love is really real, but it seems to me
that i'm wrapped up in your love
don't you know that i'm still in love, sho-nuff in love with you, hey
heaven knows that i'm still in love with you, sho-nuff in love with you hey
hey hey, when I look in your eyes, aw for all the years i see (i see)
me loving you, and you loving me, hey seem to me
that i'm still wrapped up in your love
don't you know that i'm still in love, sho-nuff in love with you, hey i'm, i'm",154
Diana Ross,Love Hangover,Blues,"Lionel: My love,
There´s only you in my life
The only thing that´s bright

Diana: My first love,
You´re every breath that I take
You´re every step I make

Lionel: And I
Diana: I-I-I-I-I
Lionel: I want to share
BOTH: All my love with you
Lionel: No one else will do...

Diana: And your eyes
Lionel: Your eyes, your eyes
BOTH: They tell me how much you care
Ooh yes, you will always be
My endless love

BOTH: Two hearts,
Two hearts that beat as one
Our lives have just begun

Diana: Forever
Lionel: Ohhhhhh
BOTH: I´ll hold you close in my arms
I can´t resist your charms

Diana: And love
Lionel: Oh, love
BOTH: I´ll be a fool
For you,
I´m sure
Diana: You know I don´t mind
Lionel: Oh, you know I don´t mind

BOTH: ´Cause you,
You mean the world to me
Oh
Diana: I know
Lionel: I know
BOTH: I´ve found in you
My endless love

Lionel: Oooh-woow
BOTH: Boom, boom
Boom, boom, boom, boom, booom
Boom, boom, boom, boom, boom

BOTH: Oooh, and love
Lionel: Oh, love
BOTH: I´ll be that fool
For you,
I´m sure
Diana: You know I don´t mind
Lionel: Oh you know-
BOTH: I don´t mind

BOTH: And, YES
You´ll be the only one
´Cause NO one can deny
This love I have inside
And I´ll give it all to you
Lionel: My love
Diana: My love, my love
BOTH: My endless love",242
Sly & The Family Stone,Dance to the Music,Blues,"Cynthia: Get up and dance to the music!
Get on up and dance to the fonky music!
All: Dance to the Music, Dance to the Music
Freddie: Hey Greg!
Greg: What?
Freddie: All we need is a drummer,
for people who only need a beat
I'm gonna add a little guitar
and make it easy to move your feet


Larry: I'm gonna add some bottom,
so that the dancers just won't hide
Sly: You might like to hear my organ
playing ""Ride Sally Ride""
You might like to hear the horns blowin',
Cynthia on the throne, yeah!
Cynthia &amp; Jerry got a message they're sayin':
Cynthia: All the squares, go home!
All: Dance to the Music, Dance to the Music",120
Michael Jackson,P.Y.T. (Pretty Young Thing),Blues,"Where did you come from lady
And ooh won't you take me there
Right away won't you baby
Tendoroni you've got to be
Spark my nature
Sugar fly with me
Don't you know now
Is the perfect time
We can make it right
Hit the city lights
Then tonight ease the lovin' pain
Let me take you to the max

I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
And I'll take you there
I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
And I'll shake you there

Anywhere you wanna go

Nothin' can stop this burnin'
Desire to be with you
Gotta get to you baby
Won't you come, it's emergency
Cool my fire yearnin'
Honey, come set me free
Don't you know now is the perfect time
We can dim the lights
Just to make it right
In the night
Hit the lovin' spot
I'll give you all that I've got

I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
And I'll take you there
I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
I'll take you there
Breakdown
Pretty young things, repeat after me
(Michael) Sing na na na
(P. Y. T.'s) na na na
(Michael) na na na na
(P. Y. T.'s) na na na na
(Michael) Sing na na na
(P. Y. T.'s) na na na
(Michael) na na na na na
(P. Y. T.'s) na na na na na
(Michael) I'll take you there

I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
And I'll take you there
I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
I'll take you there

I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
And I'll take you there
I want to love you (P. Y. T.)
Pretty Young Thing
You need some lovin' (T. L. C.)
Tender lovin' care
I'll take you there",390
Stevie Wonder,Ordinary Pain,Blues,"When by the phone
In vain you sit
You very soon in your mind realize that it's not just
An ordinary pain in your heart

When you by chance
Go knock on her door
Walkin' away you're convinced that it's much more
Than just an ordinary pain in your heart
It's more than just
An ordinary pain in your heart

Don't fool yourself
Tell no one else
That it's more than just
An ordinary pain
In your heart

When you catch up
But she says goodbye
Hold back your tears and before you start to cry
Say you feel unnecessary pain in your heart

Tell her you're glad
It's over in fact
Can she take with her the pain she brought you back
Takin' that ordinary pain from your heart
It's more than just
An ordinary pain from your heart

Don't fool yourself
Tell no one else
That it's more than just
An ordinary pain
In your heart, in your heart, in your heart

[Coda]
You're just a masochistic fool
Because you knew my love was cruel
You never listened when they said
Don't let that girl go to your head

But like a play boy you said no
Ordinary pain, ordinary pain
This little girl mind you will blow
Ordinary pain, ordinary pain
But then I blew you out the box
Ordinary pain, ordinary pain
When I put my stuff on key and lock
Ordinary pain, ordinary pain
It makes me feel kind of sick
Ordinary pain, ordinary pain
To know love put you in a trick
Ordinary pain, ordinary pain
I knew our love would have to end
Ordinary pain, ordinary pain
The day I made it with your friend
Ordinary pain, ordinary pain
Giving your love to one unreal
Ordinary pain, ordinary pain
Like a big fool I know you feel
Ordinary pain, ordinary pain
But in this lovie-dovie game
Ordinary pain, ordinary pain
With all it's joy there must be pain
Ordinary pain, ordinary pain
But now the time has surely come
Ordinary pain, ordinary pain
This game don't seem like so much fun
Ordinary pain, ordinary pain
You're crying big crocodile tears
Ordinary pain, ordinary pain
Don't match the ones I've cried for years
Ordinary pain, ordinary pain
When I was home waiting for you
Ordinary pain, ordinary pain
You were out somewhere doing the do
Ordinary pain, ordinary pain
You know I'd really like to stay
Ordinary pain, ordinary pain
But like you did I've go to play
Ordinary pain, ordinary pain
You're dumb to think I'd let you be
Ordinary pain, ordinary pain
Scott free without some pain from me
Ordinary pain, ordinary pain
I heard your song and took a chance
Ordinary pain, ordinary pain
But to your music I can't dance
Ordinary pain, ordinary pain
Go tell your story 'sob-sad'
Ordinary pain, ordinary pain
About you blowin what you had
Ordinary pain, ordinary pain
Since one ain't good enough for you
Ordinary pain, ordinary pain
Then do yourself see how you do
Ordinary pain, ordinary pain

Ordinary pain, ordinary pain [Repeat]",510
The Temptations,Silent Night,Blues,"SILENT NIGHT
WRITERS JOSEPH MOHR, FRANZ GRUBER

Silent night, holy night, all is calm, all is bright Round yon virgin Mother and Child, holy Infant so tender and mild, Sleep in heavenly peace, Sleep in heavenly peace. Silent night, holy night, shepherds quake at the sight, Glories stream from heaven afar, heavenly hosts sing Alleluia. Christ the Saviour is born, Christ the Saviour is born. Silent night, holy night, Son of God, love's pure light, Radiant beams from Thy holy face, with the dawn of redeeming grace, Jesus, Lord, at Thy birth, Jesus, Lord, at Thy birth. Silent night, holy night, wondrous star, lend thy light; With the angels let us sing, Alleluia to our King. Christ the Saviour is born, Christ the Saviour is born.",126
The Ronettes,Be My Baby,Blues,"The night we met I knew I needed you so
and if I had the chance I'd never let you go.
So won't you say you love me,
I'll make you so proud of me.
We'll make 'em turn their heads every place we go.

So won't you, please, BE MY BE MY
be my little baby
Say you'll be my darlin',
be my baby now.Wha-oh-oh-oh.

I'll make you happy, baby, just wait and see.
For every kiss you give me I'll give you three.
Oh, since the day I saw you
I have been waiting for you.
You know I will adore you 'til eternity.


So won't you, please, BE MY BE MY
be my little baby
Say you'll be my darlin',
be my baby now.
Wha-oh-oh-oh.

So come on and, please, BE MY BE MY
be my little baby
Say you'll be my darlin',
be my baby now.
Wha-oh-oh-oh.

BE MY BE MY Be my little baby.
Say you'll be my darlin',
be my baby now.
wha-oh-oh-oh-oh.
(repeat & fade)",172
Sonny Boy Williamson II,Susie Q,Blues,"Susie Cincinnati
Got a groovy little motor car
She lives for the night
And her husband's a security guard

Her looks aren't exactly a plus
A-but it doesn't matter to us
Because she knows where it's at
And she gets you there in seconds flat

She knows all the honkies
And the kids are all home in bed
(Ooo ride Susie Cincinnati ride)
She'd rather do this
Than anything else instead
(Ooo ride Susie Cincinnati)
She got the nicotine fit
And before she discovered it
Everybody in the back seat suffocated

Susie Cincinnati we thought you were a winner
Susie Cincinnati city's number one sinner
Yeah
Susie Cincinnati we thought you were a winner
Woah
Susie Cincinnati city's number one sinner
(Get yourself together)
Susie Cincinnati we thought you were a winner
Susie Cincinnati city's number one sinner
Yeah
Susie Cincinnati we thought you were a winner
Yeah
Susie Cincinnati city's number one sinner
Woah yeah

She'll always pick you up
When the others go and let you down
(To the ride to the ride Susie Cincinnati)
In her little red cab she's scootin' all over town
(To the ride to the ride Susie Cincinnati)
She's gotta mind the meter too
All polished up it shines for you
But it's just for looks
Because she'll give the ride free to you

Yeah
Susie Cincinnati
Susie Cincinnati
Susie Cincinnati
Oh baby what you do
Susie Cincinnati
S-S-Susie Cincinnati
S-S-Susie Cincinnati
Susie",240
Stevie Wonder,Too High,Blues,"Doo Doo Doo...

I'm too high
I'm too high
But I ain't touched the sky

I'm too high
I'm too high
But I ain't touched the sky

She's a girl in a dream
She sees a four eyed cartoon monster on the TV screen
She takes another puff and says it's a crazy scene
That red is green
She's a tangerine

I'm too high
I'm too high
But I ain't left the ground

I'm too high
I'm too high
I hope I never ever come down

She's the girl in her life
But her world's a superficial paradise
She had a chance to make it big more than once or twice
But no dice
She wasn't very nice

[Harmonica Solo]

Doo Doo Doo...

I'm too high
I'm too high
I can't ever touch the sky

I'm too high
I'm so high
I feel like I'm about to die

She's a girl of the past
I guess that I got to her at last
Did you hear the news about the girl today?
She passed away
What did her friend say?

They said she's too high
Too high
Can't hang around anyway

Doo Doo Doo...",194
Billy Stewart,Strange Feeling,Blues,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

I know you haven't made your mind up yet
But I would never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong

I'd go hungry, I'd go black and blue
I'd go crawling down the avenue
There's nothing that I wouldn't do
To make you feel my love

The storms are raging on the rollin' sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet

I could make you happy, make your dreams come true
Nothing that I wouldn't do
Go to the ends of the earth for you
To make you feel my love",179
Sam Cooke,Send Me Some Lovin',Blues,"Darling you send me
I know you send me
Darling you send me
Honest you do, honest you do, honest you do, oh
You thrill me
I know you, (you, you) thrill me
Darling you thrill me
Honest you do
At first I thought it was infatuation
That has lasted so long
But now I find myself wanting
To marry you and take you home
Ohhh you send me
I know you send me
I know you send me
Honest you do
Whoa whenever I'm with you
I know, I know, I know that I'm near you
Umm-humm, umm-humm
Honest you do honest you do
I know I know I know when you hold me,
I know I know wooo whenever you kiss me
Honest you do
At first I thought it was infatuation
But it has lasted so long
But now I find myself wanting
To marry and take you home
I know I know I know you send me
I know you send me
Ohh you send me
Honest you do",173
Gil Scott-Heron,Home Is Where the Hatred Is,Blues,"A junkie walking through the twilight
I'm on my way home
I left three days ago, but no one seems to know I'm gone
Home is where the hatred is
Home is filled with pain and it,
might not be such a bad idea if i never, never went home again

stand as far away from me as you can and ask me why
hang on to your rosary beads
close your eyes to watch me die
you keep saying, kick it, quit it, kick it, quit it
God, but did you ever try
to turn your sick soul inside out
so that the world, so that the world
can watch you die

home is where I live inside my white powder dreams
home was once an empty vacuum that's filled now with my silent screams
home is where the needle marks
try to heal my broken heart
and it might not be such a bad idea if I never, if I never went home again
home again
home again
home again
kick it, quit it
kick it, quit it
kick it, quit it
kick it, can't go home again",190
Isaac Hayes,Theme From Shaft - Album - Remastered,Blues,"Who's the black private dick
That's a sex machine to all the chicks?
SHAFT!
Ya damn right!

Who is the man that would risk his neck
For his brother man?
SHAFT!
Can you dig it?

Who's the cat that won't cop out
When there's danger all about?
SHAFT!
Right On!

They say this cat Shaft is a bad mother
SHUT YOUR MOUTH!
I'm talkin' 'bout Shaft.
THEN WE CAN DIG IT!

He's a complicated man
But no one understands him but his woman
JOHN SHAFT!",85
Sam Cooke,Tennessee Waltz,Blues,"I was dancing with my darlin’
to the Tennessee Waltz
When an old friend I happened to see
I introduced him to my loved one
and while they were waltzing
My friend stole my sweetheart from me.

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes I lost my little darlin’
The night they were playing
The beautiful Tennessee Waltz.

She comes dancing through the darkness
To the Tennessee Waltz
And I feel like I’m falling apart
And it’s stronger than drink
And it’s deeper than sorrow
This darkness she’s left in my heart.

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes I lost my little darlin’
The night they were playing
That beautiful Tennessee Waltz.",135
Bill Withers,"I Can't Write Left-Handed - Live at Carnegie Hall, New York, NY - October 1972",Blues,"Grandma's hands
Clapped in church on Sunday morning
Grandma's hands
Played the tambourine so well
Grandma's hands
Used to issue out a warning
She'd say "" Billy don't you run so fast !
Might fall on a piece of glass !
Might be snakes there in that grass !""
Grandma's hands

Grandma's hands
Soothed a local unwed mother
Grandma's hands
Used to ake sometimes and swell
Grandma's hands
Used to lift her face and tell her
She'd say ""Baby, Grandma understands.
That you really love that man.
Put yourself in Jesus' hands.""
Grandma's hands

Grandma's hands
Used to hand me piece of candy
Grandma's hands
Picked me up each time I fell
Grandma's hands
Boy, they really came in handy
She'd say ""Matty, don't you whip that boy !
What you want to spank him for ?
He didn't drop no apple core !""
But I don't have Grandma anymore

If I get to heaven, I'll look for
Grandma's hands",160
The Temptations,What Love Has Joined Together - Album Version / Stereo,Blues,"I'm Gonna Make You Love Me
The Supremes &amp; The Temptations
(Ken Gamble/Jerry Ross/Jerry Williams)

I'm gonna do all the thing for you
A girl wants a man to do
Oh, baby (Oh, baby)
I'll sacrifice for you
I'll even do wrong for you
Oh, baby (Oh, baby)

Every minute, every hour
I'm gonna shower you
With love and affection
Look out, it's comin' in your direction
And I'm

I'm gonna make you love me
Oh, yes I will
Yes I will
I'm gonna make you love me
Oh, yes I will
Yes I will

Look here
My love is strong, you see
I know you'll never get tired of me
Oh, baby (Oh, baby)
And I'm gonna use every trick in the book
I'll try my best to get you hooked
Hey, baby (Hey, baby)

And every night, every day
I'm gonna say
I'm gonna get you, I'm gonna get you
Look out boy, 'cause I'm gonna get you

I'm gonna make you love me
Oh, yes I will
Yes I will
And I'm gonna make you love me
Oh, yes I will
You know I will

Every breathe I take
And each and every step I make
Brings me closer, baby
Closer to you

And with each beat of my heart
For every day we're apart
I'll hunger for every wasted hour

And I...
Every night
And every day
I'm gonna get you, I'm gonna get you
Look out, 'cause I'm gonna get you

I'm gonna make you love me
Oh, yes I will
Yes I will
I'm gonna make you love me
Oh, yes I will
Yes I will

I'm gonna make you love me
Oh, yes I will
Yes I will
I'm gonna make you love me
Oh, yes I will
Yes I will",298
