artist,song_name,closest_genre,lyric,length_lyric,actual_lyric_length
Robert Johnson,Drunken Hearted Man,Blues,"Well he's not necessarily trying to say that he minds it
But someone plays evil tricks on that kid
Well he's not necessarily trying to say god can't be trusted yeah
But someone plays evil tricks on that kid
And certain situations scream for deviations
But somehow he always gets stuck in the middle
Of this and that and man he should try less
Every time he's rejected man he loses affection

But don't we all, don't we just got to give a little time
Maybe give a friend a call instead of making him confused
What a terrible thing for you to do
What an awful thing for you to say
What a terrible thing for you to relay

Well I know some people's they got a little less than nothing
But still find some to spare
And other people got more than they could use
But they don't share
And some people got problems man
They got awful complications
Other people got perfect situations
With no provocation

But don't we all, don't we just got to give a little time
Maybe give a friend a call instead of making him confused
What a terrible thing for you to do
What an awful thing for you to say
What a terrible thing for you
Confused
What a terrible thing for you to do
What an awful thing for you to say
What a terrible thing for you to relay

Somehow we always get stuck in the middle (repeated)
(overdubbed with)
Confused, what an awful thing for you to do
Confused, what an awful thing for you to say-ee",269,38
Four Tops,Are You Man Enough?,Blues,"Clean shirt, new shoes
And I don't know what I am gonna do.
Silk suit, black tie,
I don't need a reason why.
They come runnin' just as fast as they can
'Cause every girl crazy 'bout a sharp dressed man.

Gold watch, diamond ring,
I ain't missin' not a single thing.
Cufflinks, stick pin
when I step out I'm gonna do you in.
They come runnin' just as fast as they can
'Cause every girl crazy 'bout a sharp dressed man.

Top coat, top hat,
I don't worry 'cause my wallet's fat.
Black shades, white gloves,
Lookin' sharp and lookin' for love.
They come runnin' just as fast as they can
'Cause every girl crazy 'bout a sharp dressed man.",121,20
Funkadelic,Biological Speculation,Blues,"We're just a biological speculation
Sittin' here, vibratin'
And we don't know what we're vibratin' about

And the animal instinct in me
Makes me wanna defend me
It makes me want to live when it's time to die

Y'all see my point?
I don't mean to come on strong but I am concerned

I believe in god
Though I know that law and order must prevail
Oh, if and when the laws of man
Is not just, equal and fair
Then the laws of nature will come and do her thing

Oh, she does not think
She just rectifies
She comes and balances the book
Y'all see my point?
Y'all see my point?

We're just a biological speculation
Sittin' here, vibratin'
And we don't know what we're vibratin' about

And the animal instinct in me
It makes me wanna defend me
It makes me want to live when it's time to die

Y'all see my point? (y'all see my point?)
Some of you, you might not be aware
That some of us don't eat
Some of you don't, you don't even care

Oh, if and when the system
Creates hunger and hate
Then the laws of nature will come and do her thing
Oh, yes, oh!

She does not think
She works by instinct
Survival is her thing
Do y'all see my point? (ohh!)
Y'all see my point?",228,46
Muddy Waters,I Can't Be Satisfied,Blues,"Well I'm goin' away to leave
Won't be back no more
Goin' back down south, child
Don't you want to go?
Woman I'm troubled, I be all worried in mind
Well baby I just can't be satisfied
And I just can't keep from cryin'.

Well I feel like snappin'
Pistol in your face
I'm gonna let some graveyard
Lord be your resting place
Woman I'm troubled, I be all worried in mind
Well baby I can never be satisfied
And I just can't keep from cryin'.

Well now all in my sleep
Hear my doorbell ring
Looking for my baby
I couldn't see not a doggone thing
Woman I was troubled, I was all worried in mind
Well honey I could never be satisfied
And I just couldn't keep from cryin'.

Well I know my little old baby
She gonna jump and shout
That old train be late man, Lord
And I come walking out
I be troubled, I be all worried in mind
Well honey ain't no way in the world could we be satisfied
And I just can't keep from crying.",183,31
Herbie Hancock,Tell Me a Bedtime Story,Blues,"(Who's gonna climb a mountain?
Who's gonna set you free?
Who's got the inspiration?
Who's gonna hold the key?)

(Tell everybody) Who's gonna turn the table?
(Tell everybody) Who's gotta stay still?
(Tell everybody) Who still will find me dancin'?
(Who, who, who) If it isn't you?

(Tell everybody) We got a funky situation
(Tell everybody) We got a funky celebration
Going down, going down, going down, going down

(Nobody's got the answer
No matter what they say
No, you don't have to worry
We gonna find a way)

(Tell everybody) That you got to find out
(Tell everybody) What things are what they are
(Tell everybody) Who's such a working number?
(Shine, shine, shine) You're a shining star

(Tell everybody) We got a funky situation
(Tell everybody) We got a funky celebration
Going down, going down, goin down, going down

(Tell everybody)
(Tell everybody)

(Tell everybody) We got a funky situation
(Tell everybody) We got a funky celebration
Going down, going down, goin down, going down",167,34
Irma Thomas,I Need Your Love So Bad,Blues,"Living on free food tickets,
water in the milk from a hole in the roof
where the rain came through.
What can you do?
Tears from your little sister,
crying 'cause she doesn't have a dress without a patch
for the party to go.
But you she'll get by

'cause she's living in the love of the common people,
smile's from the heart of a family man.
Daddy's gonna buy you a dream to cling to,
Mama's gonna love you just as much as she can
and she can.

It's a good thing you don't have a busfare,
it would fall thru' the hole in your pocket and you'd lose it
in the snow on the ground.
You got to walk into town to find a job.
Tryin' to keep your hands warm
when the hole in your shoe lets the snow come thru'
and chills you to the bone.
Now you'd better go home where it's warm,

where you can live in a love of the common people,
smile from the heart of a family man.
Daddy's gonna buy you a dream to cling to,
Mama's gonna love you just as much as she can
and she can.

Living on a dream ain't easy
but the closer the knit the tighter the fit
and the chills stay away.
You take 'em in stride for family pride.
You know that faith is in your foundation
and with a whole lot of love and a warm conversation
but don't forget to pray.
Making it strong were you belong

and we're living in the love of the common people,
smile's from the heart of a family man.
Daddy's gonna buy you a dream to cling to,
Mama's gonna love you just as much as she can
and she can.

Yes, we're living in the love of the common people,
smile's from the heart of a family man.
Daddy's gonna buy you a dream to cling to,
Mama's gonna love you just as much as she can.

Yes, we're living in the love of the common people,
smile's from the heart of a family man.
Daddy's gonna buy you a dream to cling to,
Mama's gonna love you just as much as she can.

Yes, we're living in the love of the common people,
smile's really hard on a family man.
Daddy's gonna buy you a dream to cling to,
Mama's gonna love you just as much as she can
and she can.",410,60
James Brown & The Famous Flames,"It's A Man's, Man's, Man's World",Blues,"This is a man's world, this is a man's world
But it wouldn't be nothing, nothing without a woman or a girl

You see, man made the cars to take us over the road
Man made the trains to carry heavy loads
Man made electric light to take us out of the dark
Man made the boat for the water, like Noah made the ark

This is a man's, a man's, a man's world
But it wouldn't be nothing, nothing without a woman or a girl

Man thinks about a little baby girls and a baby boys
Man makes then happy 'cause man makes them toys
And after man has made everything, everything he can
You know that man makes money to buy from other man

This is a man's world
But it wouldn't be nothing, nothing without a woman or a girl

He's lost in the wilderness
He's lost in bitterness",152,21
Yolanda Adams,The Battle Is the Lord's,Blues,"Speaking: What are you trying to say Yolanda?
Look forget about all that other junk
this battle ain't yours, its the lord's
think about it, and then start shouting help me sing

v1
There is no pain, Jesus can't feel
There is no hurt, that He can't heal
For all things work [yes they do]
According to the masters purpose
and his holy will
no matter what [you in the balcony]
are going thru, remember that God only wants a chance to use you
for the battle is not yours its the Lord's
[we gonna tell the devil that all right?]

There's no sadness, Jesus can't feel
and there is no sorrow,
that the master is not able and willing to heal
remember that all things work
they're not gonna be all good
but they're gonna work according to God's purpose and his holy will
no matter what, no matter what you're going thru
remember God sees all and he knows all
and all he wants to do is use you
for this Battle is not yours its, its its its its the lord

This battle is the Lord's. its the Lord's
[yes its the Lord's] it is the Lord's
[but in faith you've got to hold your head up high] hold your head up high
[you belong to the most high God you don't need to cry]
don't you cry its the Lord's
[its the Lord's] its the Lord's
[yeah yeah yes its the Lord's] it is the Lord's
[No matter what] No matter what
[You're going thru] Thru
[Remember its gonna be alright He's just using you]
God us only, using you for he's worthy
[No matter what] no matter what
[you hapen to go thru right now] Thru
[Remember this will be a memory God is only using you]
God is only using you, for he's worthy
[You've got to have faith] No matter what
[You've got to know in your heart] thru
[That no matter what comes no matter what goes
Gos loves ya] God is only using you
[He loves ya (7x's)] its not yours
[And this battle is not yours] no
[He needs a chance to prove to your enemies that he is God]
its the Lord's, its the Lord's not yours
[So what you've got to do is, hold on, hold on] its not yours
[hold on, hold on] yours
[don't give up (4x's] its the Lord's not yours
[Step out on faith] its not yours
[no, no] no
[I'm so glad that God sees it] its not yours
[and he knows all] its the Lord's not yours
This battle is not yours, no, it belongs to the Lord
Hallelujah, yeah",448,59
Baby Huey & The Baby Sitters,Hard Times,Blues,"Tell me, doctor, where are we going this time
Is this the 50's, or 1999
All I wanted to do - was play my guitar and sing

So take me away, I don't mind
But you better promise me, I'll be back in time
Gotta get back in time

Don't bet your future, on one roll of the dice
Better remember, lightning never strikes twice
Please don't drive at eight, don't wanna be late again

So take me away, I don't mind
But you better promise me, I'll be back in time
Gotta get back in time
Gotta get back in time
Get me back in time

Gotta get back in time
Gotta get back in time
Get back, get back

Get back Marty

Gotta get back in time
Gotta get back in time
Get back, get back",138,27
The Chambers Brothers,People Get Ready,Blues,"People get ready there’s a train a-comin’
You don’t need no baggage you just get on board
All you need is faith to hear diesels a-humming
You don’t need no ticket you just thank the Lord

Yeah yeah yeah
People get ready for the train to Jordan
Picking up passengers from coast to coast
Faith is the key open the doors and board them
There’s room for all of the loved and lost
Yeah yeah

Now there ain't no room for the hopeless sinner
Who’s hard on mankind just to save his own
Have pity on those whose chances are thinner
’Cause there’s no hiding place from the Kingdom’s Throne

Oh people get ready there’s a train a-comin’
You don’t need no baggage you just get on board
All you need is faith to hear diesels a-humming
Don’t need no ticket you just thank the Lord

Yeah yeah yeah
I’m getting ready I'm ready
Oh I'm getting ready I'm ready",160,25
Tina Turner,We Don't Need Another Hero (Thunderdome),Blues,"Out of the ruins
out from the wreckage

Can't make the same mistakes this time.
We are the children
the last generation

We are the ones they lefl behind.
And I wonder when we are ever gonna change it

Living under the fear till nothing else remains.

We don't need another hero

We donY need to know the way home

All we want is life beyond the thunderdome.

Looking for something we can rely on

There's got to be something better out there.
Love and compassion
their day is coming

All else are castles built in the air
And I wonder when we are ever gonna change it

Living under the fear till nothing else remains.
All the children say:
We don't need another hero
. . .

So what do we do with our lives? We leave only a mark.
Will our story shine like a light or end in the dark?
Is it all or nothing?

We don't need another hero
. . .
All the children say:
We don't need another hero - we don't need another hero
. . .",184,41
Commodores,Easy,Blues,"Know it sounds funny but I just can't stand the pain
Girl, I'm leavin' you tomorrow
Seems to me girl, you know I've done all I can
You see, I beg, stole and I borrowed, yeah, ooh

That's why I'm easy
I'm easy like Sunday morning
That's why I'm easy
I'm easy like Sunday morning

Why in the world would anybody put chains on me, yeah
I've paid my dues to make it
Everybody wants me to be what they want me to be
I'm not happy when I try to fake it, no, ooh

That's why I'm easy
I'm easy like Sunday morning
That's why I'm easy
I'm easy like Sunday morning

I wanna be high, so high
I wanna be free to know the things I do are right
I wanna be free, just me, whoa, baby

Oooh

That's why I'm easy
I'm easy like Sunday morning, yeah
That's why I'm easy
I'm easy like Sunday morning, whoa

'Cause I'm easy, whoo
Easy like Sunday morning, yeah
'Cause I'm easy, yeah
I'm easy like Sunday morning, whoa",179,35
Stevie Wonder,Visions,Blues,"People hand in hand
Have I lived to see the milk and honey land?
Where hate's a dream and love forever stands
Or is this a vision in my mind?

The law was never passed
But somehow all men feel they're truly free at last
Have we really gone this far through space and time
Or is this a vision in my mind?

I'm not one who make believes
I know that leaves are green
They only turn to brown when autumn comes around
I know just what I say
Today's not yesterday
And all things have an ending

But what I'd like to know
Is, could a place like this exist so beautiful
Or do we have to find our wings and fly away
To the vision in our mind?

[Guitar Solo]

I'm not one who make believes
I know that leaves are green
They only change to brown when autumn comes around
I know just what I say
Today's not yesterday
And all things have an ending

But what I'd like to know
Is could a place like this exist so beautiful
Or do we have to take our wings and fly away
To the visions in our mind?",201,35
Leroy Carr,Black Wagon Blues,Blues,"Here am I with you,
In a world of blue,
While we're dancing to
The tango we loved when first we met.
While the music plays,
I recall the days,
When our love was a tune
That we couldn't soon forget.
As I kiss your cheek,
We don't have to speak,
The violins like a choir,
Express the desire we used to know,
Not long ago.
So just hold me tight,
In your arms tonight,
And the blue tango will be,
Our thrilling memory of love.
[Short Instrumental]
Here am I with you,
In a world of blue,
While we're dancing to
The tango we loved when first we met.
While the music plays,
I recall the days,
When our love was a tune
That we couldn't soon forget.
As I kiss your cheek,
We don't have to speak,
The violins like a choir,
Express the desire we used to know,
Not long ago.
So just hold me tight,
In your arms tonight,
And the blue tango will be,
Our thrilling memory of love.",174,35
Grant Green,"Down Here On The Ground - Live At The Cliche' Lounge, Newark, New Jersey, 1970 / Remastered 2000",Blues,"I sit alone in my bedroom
Staring at the walls
I've been up all damn night long
My pulse is speeding
My love is yearning

I hold my breath and close my eyes
And dream about her
Cause she's 2000 light years away
She holds my malakite so tight so..
Never let go
Cause she's 2000 Light years away

I sit outside and watch the sunrise
Look out as far as I can
I can't see her, but in the distance
I hear some laughter
We laugh together

Then I hold my breath and close my eyes
And dream about her
Cause she's 2000 light years away.",107,22
Bo Diddley,Crackin' Up,Blues,"You're always hollering
Bout where I been
You're always screaming
Bout the money I spend

What's bugging you
(Yeah, yeah, you're cracking up)

I do your laundry
And your cooking too
What more, woman
Can a man like me do

What's bugging me
(Yeah, yeah, you're cracking up)

I spoiled you, woman
A long time ago
I used to cook your meals
And bring 'em to your door

I'm all fed up
(Yeah, yeah, you're bugging me)",77,23
The Flamingos,I Only Have Eyes for You,Blues,"My love must be a kind of blind love
I can't see anyone but you.

Are the stars out tonight?
I don't know if it's cloudy or bright
I Only Have Eyes For You, Dear.

The moon maybe high
but I can't see a thing in the sky,
'Cause I Only Have Eyes For You.


I don't know if we're in a garden,
or on a crowded avenue.

You are here
So am I
Maybe millions of people go by,
but they all disappear from view.
And I Only Have Eyes For You.",93,20
Roy Buchanan,Sweet Dreams,Blues,"A candy-colored clown they call the sandman
Tiptoes to my room every night
Just to sprinkle stardust and to whisper
&amp;amp;quot;Go to sleep. Everything is all right.&amp;amp;quot;

I close my eyes, Then I drift away
Into the magic night. I softly say
A silent prayerLike dreamers do.
Then I fall asleep to dream My dreams of you.

In dreams I walk with you. In dreams I talk to you.
In dreams you're mine. All of the time we're together
In dreams, In dreams.

But just before the dawn, I awake and find you gone.
I can't help it, I can't help it, if I cry.
I remember that you said goodbye.

It's too bad that all these things, Can only happen in my dreams
Only in dreams In beautiful dreams.",130,20
Sonny Boy Williamson I,Susie-Q,Blues,"Susie Cincinnati
Got a groovy little motor car
She lives for the night
And her husband's a security guard

Her looks aren't exactly a plus
A-but it doesn't matter to us
Because she knows where it's at
And she gets you there in seconds flat

She knows all the honkies
And the kids are all home in bed
(Ooo ride Susie Cincinnati ride)
She'd rather do this
Than anything else instead
(Ooo ride Susie Cincinnati)
She got the nicotine fit
And before she discovered it
Everybody in the back seat suffocated

Susie Cincinnati we thought you were a winner
Susie Cincinnati city's number one sinner
Yeah
Susie Cincinnati we thought you were a winner
Woah
Susie Cincinnati city's number one sinner
(Get yourself together)
Susie Cincinnati we thought you were a winner
Susie Cincinnati city's number one sinner
Yeah
Susie Cincinnati we thought you were a winner
Yeah
Susie Cincinnati city's number one sinner
Woah yeah

She'll always pick you up
When the others go and let you down
(To the ride to the ride Susie Cincinnati)
In her little red cab she's scootin' all over town
(To the ride to the ride Susie Cincinnati)
She's gotta mind the meter too
All polished up it shines for you
But it's just for looks
Because she'll give the ride free to you

Yeah
Susie Cincinnati
Susie Cincinnati
Susie Cincinnati
Oh baby what you do
Susie Cincinnati
S-S-Susie Cincinnati
S-S-Susie Cincinnati
Susie",240,54
Willie Dixon,If The Sea Was Whiskey,Blues,"Whiskey River take my mind,
Don't let her mem'ry torture me.
Whiskey River don't run dry,
You're all I've got, take care of me.

Whiskey River take my mind,
Don't let her mem'ry torture me.
Whiskey River don't run dry,
You're all I've got, take care of me.

I'm drowning in a whiskey river,
Bathing my mem'ried mind in the wetness of its soul.
Feeling the amber current flowin' from my mind.
And warm an empty heart you left so cold.

Whiskey River take my mind,
Don't let her mem'ry torture me.
Whiskey River don't run dry,
You're all I've got, take care of me.

Instrumental break.

I'm drowning in a whiskey river,
Bathing my mem'ried mind in the wetness of its soul.
Feeling the amber current flowin' from my mind.
And warm an empty heart you left so cold.

Whiskey River take my mind,
Don't let her mem'ry torture me.
Whiskey River don't run dry,
You're all I've got, take care of me.",164,31
Barbara Mason,For Your Love,Blues,"(Barbara George)

I know (I know) you don't love me no more
No more (no more) no, no more (no more)
And I don't want to be hurtin' anymore
(No more) anymore (no more)
Yeah, yeah I have loved so hard
Everything I did was no (????)
If I can't love you right, baby
I don't have to love you at all

I know (I know) you don't want me no more
No more (no more) no, no more (no more)
And it had to be someone else loving you more
(No more) loving you more (no more)
Ain't no use in me cryin' now
If not for you I wouldn't be down
Since you don't want me no more, baby
Ain't no use in your hanging round

(I know)
(No more, no more)
(No more, no more)

I know (I know) you don't want me no more
No more (no more) no, no more (no more)
And it has to be someone else loving you more
(No more) lovin' you more (no more)
Ain't no use in me crying now
If not for you I wouldn't be down
Since you don't want me no more, baby
Ain't no use in your hangin' round
I know (I know)
I know (I know)
I know (I know)
I know (I know)...",220,36
James Brown,I Got The Feelin',Blues,"You come home late from work, baby
You wonder why it ain't on the table
After the day that I've had
I don't believe I'm able
You give me every little reason in the book
But there's one thing that I think you've overlooked
you say you're tired, well so am I
Baby you've got to try and
Meet halfway or we ain't gonna make it, baby
Meet halfway if you want to get it right
Meet halfway cause I ain't gonna take it, baby
Meet halfway in the middle of the night
Our love is kind of stalled, baby


But it aint about the sex
I'd trade the roses and the negligees
If we could just connect
I go deeper when you look into my eyes
There's a place where neither one of us can hide
And it's up to us to reinvent the game
Love it when you call my name and
Meet halfway, ain't no doubt about it, baby
Meet halfway, and we're halfway home
Meet halfway, got to scream and shout it, baby
Meet me halfway and I'll shake you to the bone",187,26
Fats Domino,My Girl Josephine,Blues,"Hello Josephine
How do you do
Do you remember me baby?
Like i remember you
You used to laugh at me and holler: Woo Woo Woo

i used to walk you home
i used to hold your hand
You used to use my umbrella
Every time it rained
You used to cry so much..it was a cryin' shame

You used to live over yonder
By the railroad track
When it rained you couldn't walk..i used to tote you on my back
Now you try to make believe..it was a thrill at that

Hello Josephine
How do you do
Do you remember me baby?
Like i remember you
You used to laugh at me and holler: Woo Woo Woo

(fade out)",120,24
Otis Redding,These Arms of Mine,Blues,"These arms of mine
They are lonely
Lonely and feeling blue
These arms of mine
They are yearning
Yearning from wanting you

And if you
Would let them
Hold you Oh how grateful I will be

These arms of mine
They are burning
Burning from wanting you
These arms of mine
They are wanting
Wanting to hold you

And if you
Would let them hold you
Ohh how grateful I will be

Come on, come on baby
Just be my little woman [yeah]
Just be my lover I need somebody,
[Somebody] To treat me right
[Ohh] I need your warm loving arms to hold me tight
And I need you tender lips too
Hold me, hold me",117,29
Jr. Walker & The All Stars,How Sweet It Is (To Be Loved By You),Blues,"How sweet it is to be loved by you [C Am D7 G G7]
How sweet it is to be loved by you [C Am D7 G C7]

I needed the shelter of someone's arms and there you were [G Em D C7]
I needed someone to understand my ups and downs
and there you were [G Em D C7]
With sweet love and devotion
deeply touching my emotion [G C7 G C7]
I want to stop and thank you baby [G C7]
I just want to stop and thank you baby [G]

How sweet it is to be loved by you [C Am D7 G G7]
How sweet it is to be loved by you [C Am D7 G C7]

I close my eyes at night,
wondering where would I be without you in my life [G Em D C7]
Everything I did was just a bore,
everywhere I went it seems I'd been there before [G Em D C7]
But you brightened up for me all of my days
With a love so sweet in so many ways [G C7 G C7]
I want to stop and thank you baby [G C7]
I want to stop and thank you baby [G]

How sweet it is to be loved by you [C Am D7 G G7]
How sweet it is to be loved by you [C Am D7 G C7]

You were better for me than I was for myself [G C7]
For me, there's you and there ain't nobody else [G C7]
I want to stop and thank you baby [G C7]
I just want to stop and thank you baby [G]

How sweet it is to be loved by you [C Am D7 G G7]
How sweet it is to be loved by you [C Am D7 G C7]",302,33
Tina Turner,The Best,Blues,"i call you when i need you, when my heart's on fire,
Come to me, come to me wild and wilder,
oooooooo you come to me
give me everything i need

Give me a life-time of promises,
and a world of dreams,
speak the language of love
like you know what it means,
oooooooo and it can't be wrong,
take my heart and make it stronger
babe

(chorus)

You're simply the best!
Better than all the rest,
Better than anyone,
Anyone i ever met
And I'm stuck on your heart
And I hang on every word you said,
tear us apart?
baby i would rather be dead

In your heart
i see the stars of every night
and every day
In your eyes i get lost
I get washed away
Just as long as I'm here in your arms
I could be in no better place

(chorus)

Each time you leave me
I start losing control,
You're walking away with my heart
and my soul
I can feel you even when i'm alone
oh baby don't let go!

(chorus till fade)",181,42
The Shirelles,Will You Love Me Tomorrow,Blues,"Tonight you're mine completely
You give you love so sweetly
Tonight the light of love is in your eyes
But will you love me tomorrow?

Is this a lasting treasure
Or just a moment's pleasure?
Can I believe the magic of your sighs?
Will you still love me tomorrow?

Tonight with words unspoken
You say that I'm the only one
But will my heart be broken
When the night meets the morning sun?

I'd like to know that your love
Is love I can be sure of
So tell me now, and I won't ask again
Will you still love me tomorrow?

(INSTRUMENTAL)

So tell me now, and I won't ask again
Will you still love me tomorrow?
Will you still love me tomorrow?
Will you still love me tomorrow?",130,26
